year,state,bias,compound,party,norm_vote_count
2016,AK,Abortion,0.180325,REP,0.4332067039106145
2016,AK,Abortion,0.180325,DEM,0.31010893854748606
2016,AK,Race,0.46446666666666664,REP,0.4332067039106145
2016,AK,Race,0.46446666666666664,DEM,0.31010893854748606
2016,AK,Immigration,-0.15516666666666667,REP,0.4332067039106145
2016,AK,Immigration,-0.15516666666666667,DEM,0.31010893854748606
2016,AK,Socioeconomic,0.43335,REP,0.4332067039106145
2016,AK,Socioeconomic,0.43335,DEM,0.31010893854748606
2018,AK,Abortion,0.07246666666666667,REP,0.4444480712166172
2018,AK,Immigration,-0.6705,REP,0.4444480712166172
2020,AK,Abortion,0.72475,REP,0.5016344647519583
2020,AK,Race,0.6369,REP,0.5016344647519583
2020,AK,Immigration,0.8974,REP,0.5016344647519583
2020,AK,Socioeconomic,0.5235,REP,0.5016344647519583
2016,AL,Abortion,-0.08614999999999999,REP,0.08062932172077066
2016,AL,Abortion,-0.08614999999999999,DEM,0.04924077593032462
2016,AL,Race,-0.3604,REP,0.08062932172077066
2016,AL,Race,-0.3604,DEM,0.04924077593032462
2016,AL,Immigration,-0.11710714285714285,REP,0.08062932172077066
2016,AL,Immigration,-0.11710714285714285,DEM,0.04924077593032462
2016,AL,Socioeconomic,-0.16402,REP,0.08062932172077066
2016,AL,Socioeconomic,-0.16402,DEM,0.04924077593032462
2018,AL,Abortion,0.1351421052631579,REP,0.06531037483266398
2018,AL,Abortion,0.1351421052631579,DEM,0.03893786574870912
2018,AL,Race,-0.2521333333333333,REP,0.06531037483266398
2018,AL,Race,-0.2521333333333333,DEM,0.03893786574870912
2018,AL,Immigration,-0.11404074074074073,REP,0.06531037483266398
2018,AL,Immigration,-0.11404074074074073,DEM,0.03893786574870912
2018,AL,Socioeconomic,-0.14204615384615385,REP,0.06531037483266398
2018,AL,Socioeconomic,-0.14204615384615385,DEM,0.03893786574870912
2020,AL,Abortion,0.03443571428571427,REP,0.09339216462208151
2020,AL,Abortion,0.03443571428571427,DEM,0.048184329244163035
2020,AL,Race,-0.13262083333333333,REP,0.09339216462208151
2020,AL,Race,-0.13262083333333333,DEM,0.048184329244163035
2020,AL,Immigration,-0.007769230769230768,REP,0.09339216462208151
2020,AL,Immigration,-0.007769230769230768,DEM,0.048184329244163035
2020,AL,Socioeconomic,-0.014440000000000008,REP,0.09339216462208151
2020,AL,Socioeconomic,-0.014440000000000008,DEM,0.048184329244163035
2018,AR,Abortion,0.2539666666666666,REP,0.11020978605388272
2018,AR,Abortion,0.2539666666666666,DEM,0.06200039619651347
2018,AR,Race,-0.739340625,REP,0.11020978605388272
2018,AR,Race,-0.739340625,DEM,0.06200039619651347
2018,AR,Immigration,-0.17552631578947367,REP,0.11020978605388272
2018,AR,Immigration,-0.17552631578947367,DEM,0.06200039619651347
2018,AR,Socioeconomic,-0.09773333333333335,REP,0.11020978605388272
2018,AR,Socioeconomic,-0.09773333333333335,DEM,0.06200039619651347
2020,AR,Abortion,-0.3009,REP,0.15214290962527555
2020,AR,Abortion,-0.3009,DEM,0.08094170952730835
2020,AR,Race,-0.37214545454545456,REP,0.15214290962527555
2020,AR,Race,-0.37214545454545456,DEM,0.08094170952730835
2020,AR,Immigration,0.1671625,REP,0.15214290962527555
2020,AR,Immigration,0.1671625,DEM,0.08094170952730835
2020,AR,Socioeconomic,0.01843000000000001,REP,0.15214290962527555
2020,AR,Socioeconomic,0.01843000000000001,DEM,0.08094170952730835
2018,AZ,Abortion,-0.09332432432432432,DEM,0.04016598542135023
2018,AZ,Abortion,-0.09332432432432432,REP,0.043656154199877374
2018,AZ,Race,0.023304444444444444,DEM,0.04016598542135023
2018,AZ,Race,0.023304444444444444,REP,0.043656154199877374
2018,AZ,Immigration,0.015337288135593222,DEM,0.04016598542135023
2018,AZ,Immigration,0.015337288135593222,REP,0.043656154199877374
2018,AZ,Socioeconomic,0.01590000000000001,DEM,0.04016598542135023
2018,AZ,Socioeconomic,0.01590000000000001,REP,0.043656154199877374
2016,AZ,Abortion,-0.13184166666666666,DEM,0.04112428457869634
2016,AZ,Abortion,-0.13184166666666666,REP,0.05025349761526232
2016,AZ,Race,-0.05286071428571428,DEM,0.04112428457869634
2016,AZ,Race,-0.05286071428571428,REP,0.05025349761526232
2016,AZ,Immigration,-0.27143306451612903,DEM,0.04112428457869634
